Filename,EnergyMeV,LET,numEvtIntersectingVolume,chromatinVolume,numBP,sugarPosFilename,GitHash,ClusteringGitHash
alpha_5MeV_7314.root,4.912336850709736,88.54636850984096,619,2.700000000000001e-20,296352.0,../../../../geometryFiles/sugarPos_4x4_300nm.csv,M,80aac8f
EventNo,DoseGy,PathLength_nm,MeanKEMeV,TotalSBdirect,SSBdirect,cSSBdirect,DSBdirect,TotalSBindirect,SSBindirect,cSSBindirect,DSBindirect,TotalSBtotal,SSBtotal,cSSBtotal,DSBtotal
610,196.50193840940597,386.23922004390005,4.909145815619988,1, 1, 0, 0, 2, 2, 0, 0, 3, 3, 0, 0
613,58.32782502672611,75.16149532689144,4.89442694601469,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
615,146.58876255515625,248.53492921262847,4.919010605174485,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
616,59.44255636704676,116.6974531221805,4.908159270215357,3, 3, 0, 0, 7, 7, 0, 0, 10, 8, 0, 1
619,30.73500592915733,64.07816245525076,4.90184024397521,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
682,145.7652988811953,336.9003127749266,4.913495401846118,2, 2, 0, 0, 12, 8, 2, 0, 14, 8, 3, 0
683,14.46309492248409,30.442986966122238,4.924757986086767,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
684,37.93773343096508,73.81859657773104,4.914335842361955,1, 1, 0, 0, 3, 3, 0, 0, 4, 4, 0, 0
685,17.548788858647256,34.741500071422266,4.923789086978152,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
686,173.15826336650457,306.9086056124409,4.921813640791847,0, 0, 0, 0, 13, 13, 0, 0, 13, 13, 0, 0
687,200.4550537367284,302.14317640487025,4.920354280331485,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
688,134.28656255137435,254.88072686389333,4.91313735133919,0, 0, 0, 0, 5, 5, 0, 0, 5, 5, 0, 0
691,82.05517789006969,155.12072535405287,4.9256839596252755,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
693,171.7922831560892,319.0652149297045,4.91660975532109,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
694,153.30232182443947,303.8417569115249,4.918446548591286,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
695,81.93024923165405,137.07267408473493,4.905485461486674,1, 1, 0, 0, 2, 2, 0, 0, 3, 1, 1, 0
697,47.37937196700305,100.1164962666007,4.915283140990825,3, 3, 0, 0, 9, 5, 0, 1, 12, 4, 0, 2
698,108.8151042497862,227.65767047489217,4.91068728560318,2, 2, 0, 0, 10, 4, 1, 2, 12, 5, 1, 2
699,47.51214902952642,120.88296524818419,4.914961865468476,0, 0, 0, 0, 5, 3, 1, 0, 5, 3, 1, 0
707,52.03990642447851,115.41523908042652,4.901705215774295,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
708,71.77030759634506,122.00210017232595,4.936458032251993,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
710,134.25171710860505,221.23442766946204,4.903086179615697,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
711,142.30972463577262,313.5018684249122,4.912977938933288,5, 5, 0, 0, 18, 16, 0, 1, 23, 19, 1, 1
712,186.56697768914202,354.2172879474976,4.914696954660531,6, 4, 1, 0, 22, 16, 0, 2, 28, 19, 0, 3
961,161.71914612395486,317.3778198368788,4.929305118896904,2, 2, 0, 0, 14, 12, 0, 1, 16, 14, 0, 1
962,17.203061267380274,22.6069137117877,4.922480832842257,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
965,104.19187894792519,210.2348288059685,4.920761718334957,3, 1, 1, 0, 6, 6, 0, 0, 9, 5, 1, 1
966,136.75646845923472,310.99824244115786,4.917944248682085,5, 5, 0, 0, 16, 13, 0, 1, 21, 13, 0, 3
967,75.74196869982516,178.91406493075036,4.9112715579491155,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
