Filename,EnergyMeV,LET,numEvtIntersectingVolume,chromatinVolume,numBP,sugarPosFilename,GitHash,ClusteringGitHash
alpha_8MeV_5659.root,7.938505044743196,62.73813963762193,618,2.700000000000001e-20,296352.0,../../../../geometryFiles/sugarPos_4x4_300nm.csv,ce42311,80aac8f
EventNo,DoseGy,PathLength_nm,MeanKEMeV,TotalSBdirect,SSBdirect,cSSBdirect,DSBdirect,TotalSBindirect,SSBindirect,cSSBindirect,DSBindirect,TotalSBtotal,SSBtotal,cSSBtotal,DSBtotal
62,85.96290596601771,236.53859450529703,7.958367358364725,1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0
63,67.47072418107855,180.18072241049504,7.942819535945006,1, 1, 0, 0, 6, 6, 0, 0, 7, 7, 0, 0
64,33.625067714388074,106.06972938430022,7.951794306900272,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67,116.59578618729957,345.5793127321429,7.940619686430585,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
69,30.91235368625265,88.58534050274793,7.916588146717396,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
71,25.709277282810895,79.11977574466023,7.958583447122489,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
72,112.7229881061905,303.5432672792462,7.948515496837737,4, 2, 1, 0, 1, 1, 0, 0, 5, 3, 1, 0
73,88.19558656739503,233.28176521756743,7.9351604649772405,2, 2, 0, 0, 14, 12, 0, 1, 16, 14, 0, 1
74,49.79779522113481,189.39600809492808,7.940365234994968,0, 0, 0, 0, 5, 2, 1, 0, 5, 2, 1, 0
75,68.0710707049152,205.66391895334962,7.935896785927151,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
76,8.939305309657545,34.985364699999195,7.937564714230814,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
78,133.47998645796446,348.8092631102094,7.932523515983206,1, 1, 0, 0, 9, 9, 0, 0, 10, 10, 0, 0
79,135.2863345831722,365.09855245347904,7.956713295509099,2, 0, 0, 1, 10, 10, 0, 0, 12, 10, 0, 1
80,113.58436103428416,318.2087074828664,7.936134481783153,1, 1, 0, 0, 11, 11, 0, 0, 12, 10, 0, 1
82,166.27765950999074,361.7939909026745,7.928008831616626,6, 4, 0, 1, 5, 3, 0, 1, 11, 5, 1, 2
83,100.67549484030158,338.6935810106064,7.917289423871422,0, 0, 0, 0, 10, 8, 0, 1, 10, 8, 0, 1
84,112.92773272101071,348.7046326633645,7.951265686973329,3, 3, 0, 0, 4, 4, 0, 0, 7, 7, 0, 0
87,94.42557994389186,299.7420933732831,7.945822093822141,3, 3, 0, 0, 9, 4, 1, 1, 12, 6, 1, 1
89,81.53412497641985,328.1671594304319,7.9459281312179275,5, 5, 0, 0, 4, 4, 0, 0, 9, 9, 0, 0
591,57.497371228522795,161.67378687723505,7.946274984638412,0, 0, 0, 0, 5, 5, 0, 0, 5, 5, 0, 0
592,13.637404865275228,41.14657776658956,7.942388061293965,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
594,104.40605392145441,232.62909373299732,7.933667552564099,6, 2, 0, 2, 8, 8, 0, 0, 14, 8, 1, 2
595,67.287258508966,214.37408931229808,7.9316366426127605,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
597,43.51948218211021,133.29531287991364,7.9483491545488985,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
598,165.1947972406312,381.0293839016133,7.934383296379302,3, 3, 0, 0, 21, 17, 1, 1, 24, 14, 2, 2
599,20.318709304777485,80.41828606843528,7.922833235850394,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
600,82.16592302551719,305.6560422488556,7.932054790626388,1, 1, 0, 0, 4, 4, 0, 0, 5, 5, 0, 0
601,5.732454818185444,18.40016298644189,7.9406963555711805,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
602,147.09213738248678,377.0029731569175,7.935754647552658,3, 3, 0, 0, 4, 4, 0, 0, 7, 7, 0, 0
603,17.474737031648946,70.5401942655664,7.9591833715815685,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
604,102.54815880677151,312.0914686401224,7.933701855097052,4, 2, 1, 0, 10, 8, 1, 0, 14, 8, 2, 0
605,153.49692534035208,427.894079843037,7.942204225313667,6, 6, 0, 0, 26, 24, 1, 0, 32, 28, 1, 1
607,56.438719471406344,234.34965486297008,7.935492638992576,1, 1, 0, 0, 4, 2, 0, 1, 5, 1, 1, 1
610,62.022697575951575,214.5391638695927,7.935895736765464,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
612,80.49072000576062,190.94083865426234,7.928159522921274,2, 2, 0, 0, 2, 2, 0, 0, 4, 2, 0, 1
614,14.18761047618302,42.66351525387123,7.930183309481743,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
617,19.15139404363345,81.60083242247356,7.9270320762528685,1, 1, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0
930,92.15011259538383,319.45889154403983,7.944241051491288,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
932,99.10745614183892,251.54853889447864,7.924007069586799,3, 3, 0, 0, 6, 6, 0, 0, 9, 9, 0, 0
933,26.539887012846613,54.88227698223049,7.930705792288256,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
934,119.26121085739904,362.89389968377805,7.944902223860787,3, 3, 0, 0, 10, 8, 0, 1, 13, 8, 0, 2
935,21.19705756431402,119.56902180575375,7.947195447317732,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
936,0.05234040956297316,1.7138401779238304,7.9521208351843615,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
937,69.18222132949357,210.05637066282478,7.946342199183116,2, 2, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0
938,15.785528455284233,64.6166520550661,7.935730414293363,0, 0, 0, 0, 5, 1, 2, 0, 5, 1, 2, 0
941,47.790132214783206,136.79710545057085,7.943407563754208,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
942,39.60712983468767,154.58990820398466,7.925631509970806,2, 2, 0, 0, 7, 5, 0, 1, 9, 7, 0, 1
943,76.70699211061144,201.48624727188576,7.941524401577249,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
944,122.36054935466706,392.6333479314598,7.929935394221868,2, 2, 0, 0, 12, 7, 1, 1, 14, 8, 1, 1
945,19.358592795020492,43.92414848476901,7.94681904702421,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
946,87.93045497149322,266.7645895103531,7.9429903370629065,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
948,0.4085021258519637,3.6328807724617898,7.94254625370829,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
950,32.4022576277025,53.1072606151985,7.944778097086278,1, 1, 0, 0, 2, 2, 0, 0, 3, 1, 1, 0
951,25.39699354026501,86.32150915558236,7.9392835324790125,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
952,54.93694480976246,215.42128413847982,7.954585448907191,2, 2, 0, 0, 1, 1, 0, 0, 3, 3, 0, 0
953,89.10826914250548,266.50030346528337,7.949820981327205,0, 0, 0, 0, 4, 2, 0, 1, 4, 2, 0, 1
954,113.94844797199201,356.4322085130401,7.9395344181145635,1, 1, 0, 0, 3, 3, 0, 0, 4, 4, 0, 0
955,77.345905815041,271.8715935736573,7.940576222103047,6, 6, 0, 0, 13, 10, 0, 1, 19, 10, 2, 2
956,144.72666944262448,306.4542312442603,7.924942743722519,1, 1, 0, 0, 4, 4, 0, 0, 5, 3, 1, 0
958,31.51086551590744,140.81304184909695,7.939890268634155,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
960,113.99549017881392,295.2086537537699,7.937319273863727,0, 0, 0, 0, 9, 7, 0, 1, 9, 7, 0, 1
218,22.268773147766908,66.24563104624713,7.9293640071504585,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
219,12.044745732099148,10.614158086847748,7.935050647459278,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
220,122.08193551210117,316.28472075256457,7.926477596153487,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
221,96.41904976793855,306.23306576497316,7.947257121366608,2, 0, 1, 0, 6, 6, 0, 0, 8, 5, 1, 0
222,10.03715534276043,25.716689999569933,7.947837990467005,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
226,47.20397970818037,115.32324109072472,7.952165615390456,1, 1, 0, 0, 6, 6, 0, 0, 7, 5, 1, 0
227,77.37915931705567,203.85278827282318,7.937302146250898,1, 1, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0
228,132.38625691557525,419.5116629674112,7.938441237624173,3, 3, 0, 0, 13, 11, 0, 1, 16, 11, 1, 1
230,86.40121390901695,208.91217445128433,7.942437561143223,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
233,15.231941620054553,35.79794495966785,7.933741711311587,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
234,16.109163318369344,77.7725564992823,7.935783046728567,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
235,32.45900234312816,110.97231586474153,7.948588470141779,1, 1, 0, 0, 6, 4, 1, 0, 7, 5, 1, 0
238,82.43503087978792,305.81014948916646,7.934193891655442,0, 0, 0, 0, 6, 6, 0, 0, 6, 6, 0, 0
239,9.458782087920804,31.53781063961821,7.939929357700779,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
242,30.65552580943202,95.48629119842687,7.93455440029148,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
243,119.78415133768993,255.39599346797814,7.9176635002935525,1, 1, 0, 0, 4, 4, 0, 0, 5, 5, 0, 0
246,116.14836979383482,317.9964856260268,7.918073676057662,3, 1, 1, 0, 6, 6, 0, 0, 9, 7, 1, 0
247,37.29580067360101,71.61584209998821,7.958170680591961,0, 0, 0, 0, 6, 6, 0, 0, 6, 6, 0, 0
341,24.187592338443128,100.87941855773224,7.929321889371707,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
342,81.72417762685389,226.8661182447358,7.930820920967367,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
344,52.41387433504109,209.65043964138926,7.93913357261476,0, 0, 0, 0, 10, 5, 0, 2, 10, 5, 0, 2
345,41.040983578802134,119.98444374382703,7.932934039409297,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
348,90.73722287683191,230.2314844449134,7.944339095933971,2, 2, 0, 0, 2, 2, 0, 0, 4, 2, 0, 1
349,68.4422625612879,214.74079409531913,7.93808652223391,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
350,41.55776083529441,95.14177413084158,7.949001980924609,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
351,17.57064813652535,66.68168452666764,7.932034721743552,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
352,0.16132877920290487,0.749521088830794,7.93242670732142,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
353,85.89073783595327,219.85096152791613,7.924947048767917,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
354,47.81962167227786,123.525654967845,7.91644193506103,0, 0, 0, 0, 8, 6, 0, 1, 8, 6, 0, 1
355,99.57374231191282,300.84819796258523,7.947099325977813,1, 1, 0, 0, 5, 5, 0, 0, 6, 6, 0, 0
356,122.09863945435455,330.1650056866989,7.9330110249166985,1, 1, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0
358,118.55200206591054,365.32389923326093,7.928679365595931,2, 2, 0, 0, 7, 7, 0, 0, 9, 7, 0, 1
362,120.22400744918713,367.7749259386371,7.929236525764679,2, 2, 0, 0, 10, 10, 0, 0, 12, 8, 2, 0
363,38.63690702286604,126.6337215931157,7.935396067519459,2, 2, 0, 0, 6, 6, 0, 0, 8, 6, 1, 0
