Filename,EnergyMeV,LET,numEvtIntersectingVolume,chromatinVolume,numBP,sugarPosFilename,GitHash,ClusteringGitHash
alpha_5MeV_2277.root,4.912766385064691,88.55484354678977,641,2.700000000000001e-20,296352.0,../../../../geometryFiles/sugarPos_4x4_300nm.csv,e9383fe,80aac8f
EventNo,DoseGy,PathLength_nm,MeanKEMeV,TotalSBdirect,SSBdirect,cSSBdirect,DSBdirect,TotalSBindirect,SSBindirect,cSSBindirect,DSBindirect,TotalSBtotal,SSBtotal,cSSBtotal,DSBtotal
62,104.24794327306127,249.83157581377006,4.917335312218725,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
64,184.16382233491777,362.6914942716448,4.907398824209499,3, 3, 0, 0, 5, 5, 0, 0, 8, 8, 0, 0
65,157.12479856172143,307.7080548830712,4.911664510836118,3, 1, 1, 0, 9, 9, 0, 0, 12, 10, 1, 0
66,66.4744215913897,129.9386824135003,4.901240763335339,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
67,182.19356049508158,315.1650186023875,4.912359421399623,4, 1, 0, 1, 12, 10, 1, 0, 16, 8, 2, 1
68,128.76739164165596,251.5685123841426,4.913841939946372,6, 6, 0, 0, 11, 8, 1, 0, 17, 10, 2, 1
69,159.99446847024896,290.0225394012926,4.917698231843602,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
71,179.4129553774189,389.60680258678286,4.911535179424252,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
72,43.10650634656534,80.72228755038799,4.919084496038215,1, 1, 0, 0, 6, 2, 1, 1, 7, 2, 1, 1
74,237.88512540261934,401.36833037486787,4.901770862592279,8, 8, 0, 0, 21, 13, 2, 2, 29, 18, 3, 2
75,151.35008895071346,301.10197086041353,4.90383640153756,0, 0, 0, 0, 9, 9, 0, 0, 9, 9, 0, 0
77,186.2438932273681,322.1646678912138,4.91002158452779,1, 1, 0, 0, 3, 3, 0, 0, 4, 4, 0, 0
79,141.15635303970265,280.52638764835643,4.911869768920612,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
80,75.06972056674358,124.2272645078982,4.92168009688165,3, 1, 1, 0, 6, 2, 1, 1, 9, 2, 2, 1
84,143.65719424895687,313.90508719982694,4.910009077429638,1, 1, 0, 0, 10, 10, 0, 0, 11, 11, 0, 0
86,129.6204021133536,279.57376297453004,4.902949795377656,2, 2, 0, 0, 7, 5, 1, 0, 9, 7, 1, 0
88,176.38908485586774,349.2951593726433,4.90813183288655,1, 1, 0, 0, 5, 5, 0, 0, 6, 4, 0, 1
89,13.366253008330423,27.452644479762252,4.920316586178368,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90,12.263412652922158,25.471060893815007,4.9182675293585465,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
92,95.1585985319971,176.9095743190099,4.908817957668472,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
405,34.24662306739056,73.6117213762101,4.929878648330801,0, 0, 0, 0, 4, 2, 0, 1, 4, 2, 0, 1
407,205.15412846418047,374.16769231339174,4.901496467568608,2, 2, 0, 0, 12, 10, 0, 1, 14, 12, 0, 1
412,126.63928003728344,242.81605396735443,4.913819966347923,1, 1, 0, 0, 10, 8, 0, 1, 11, 7, 1, 1
414,15.658982195132555,39.105761505983544,4.935073342959653,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
418,136.73800742930106,313.4384726014513,4.8925280130298185,2, 2, 0, 0, 8, 6, 0, 1, 10, 7, 0, 1
419,137.2604863553376,253.38339420267278,4.9085326074947355,2, 2, 0, 0, 6, 6, 0, 0, 8, 6, 1, 0
420,16.849657336121172,25.976381185685213,4.911748465934403,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
421,11.498183720937005,25.196116317203913,4.926278687672628,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
424,65.94151348893655,190.2257519780886,4.924571487494045,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
425,163.10453181264336,370.267413347099,4.905336793130047,2, 2, 0, 0, 8, 8, 0, 0, 10, 6, 0, 2
426,89.29671115483386,199.74972274153342,4.91222832779189,6, 6, 0, 0, 5, 5, 0, 0, 11, 9, 0, 1
427,105.16731295990834,237.33328408695684,4.9078797404157575,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
428,163.22793977760782,288.1396367156673,4.92210954155242,2, 2, 0, 0, 6, 6, 0, 0, 8, 6, 0, 1
429,96.62725803550019,240.08847834538548,4.904245969321737,3, 3, 0, 0, 6, 6, 0, 0, 9, 7, 0, 1
431,165.0936941751252,348.23587080307834,4.903593878407271,1, 1, 0, 0, 17, 15, 1, 0, 18, 16, 1, 0
432,148.11427935981928,310.4153583897409,4.907304033888208,1, 1, 0, 0, 5, 5, 0, 0, 6, 6, 0, 0
433,111.55072454272506,193.70667978140767,4.915546822397456,5, 3, 0, 1, 11, 9, 1, 0, 16, 10, 0, 2
683,108.5313932400085,200.90923988642214,4.92887775756234,2, 2, 0, 0, 11, 7, 1, 1, 13, 8, 1, 1
684,97.7997375438378,164.80968648809227,4.908774157652015,3, 3, 0, 0, 8, 8, 0, 0, 11, 11, 0, 0
686,175.13875452564216,304.8294710957947,4.902420286226063,2, 2, 0, 0, 13, 13, 0, 0, 15, 11, 1, 1
687,8.718355650760722,16.541019387336434,4.916070566754284,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
689,203.72752363371495,346.14297297341625,4.920160652780906,2, 2, 0, 0, 6, 4, 1, 0, 8, 4, 0, 1
690,28.89876740140638,64.80496736977324,4.909699085545462,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
