Filename,EnergyMeV,LET,numEvtIntersectingVolume,chromatinVolume,numBP,sugarPosFilename,GitHash,ClusteringGitHash
/user/work/lg9783/RBE/RBE/simulation/build/results/2ndDec_testCommit/alpha_8MeV_8006.root,7.936964985039996,62.74800746391467,625,2.700000000000001e-20,296352.0,/user/work/lg9783/RBE/RBE/geometryFiles/sugarPos_4x4_300nm.csv,b4fe4a5,2faf8c0
EventNo,DoseGy,PathLength_nm,MeanKEMeV,TotalSBdirect,SSBdirect,cSSBdirect,DSBdirect,TotalSBindirect,SSBindirect,cSSBindirect,DSBindirect,TotalSBtotal,SSBtotal,cSSBtotal,DSBtotal
186,23.147232838306824,64.38586056033562,7.949979556702351,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
187,19.334023523875214,69.9631101370806,7.922396091823941,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
188,111.85910675024402,348.6247468685093,7.942587224368195,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
190,92.07903558569801,278.39459715105994,7.945830977345471,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
191,51.43641903054874,101.75425914679137,7.941070773301733,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
192,6.481088025787592,27.604399492315892,7.9488696387041635,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
193,125.60585635860235,379.6675753397356,7.935383272497967,3, 3, 0, 0, 15, 12, 0, 1, 18, 15, 0, 1
195,36.59711183238339,134.20915193007104,7.937225817412912,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
196,104.57259593603422,333.2926526215408,7.941527762585989,4, 4, 0, 0, 9, 5, 0, 2, 13, 7, 0, 3
198,131.3995903764333,339.6574007512828,7.932363507600746,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
199,9.360310418699976,0.11185290934914927,7.945863260856072,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
202,16.075361722348056,35.45341042760223,7.9345698010721675,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
203,85.13038783396436,235.63573731238216,7.930944102869345,1, 1, 0, 0, 16, 10, 2, 1, 17, 11, 2, 1
205,104.65352868348361,323.6678275536023,7.942376864261741,1, 1, 0, 0, 8, 5, 1, 0, 9, 6, 1, 0
206,11.796534792389323,21.07511216393142,7.929055309371845,0, 0, 0, 0, 2, 0, 1, 0, 2, 0, 1, 0
209,112.83134623025325,311.00849234818884,7.933485847386967,1, 1, 0, 0, 4, 4, 0, 0, 5, 5, 0, 0
211,117.81440195408307,309.27377187194116,7.936990732365336,3, 3, 0, 0, 12, 6, 1, 1, 15, 8, 1, 1
213,107.47943533457088,313.16620067258765,7.936484511150426,0, 0, 0, 0, 9, 9, 0, 0, 9, 9, 0, 0
214,103.3798612587017,248.60891031551833,7.938142073746635,1, 1, 0, 0, 12, 12, 0, 0, 13, 13, 0, 0
215,15.3241871256268,48.88921086426617,7.9254260971604635,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
216,119.21011840334495,343.7095997246751,7.938397075583346,4, 4, 0, 0, 11, 11, 0, 0, 15, 15, 0, 0
434,19.2388663547008,23.563716278739445,7.931279546405538,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
436,122.47065747890369,354.5985350951245,7.933358883078573,1, 1, 0, 0, 5, 5, 0, 0, 6, 6, 0, 0
437,92.85079056871605,222.71769455690182,7.9314531925411105,1, 1, 0, 0, 5, 3, 0, 1, 6, 4, 0, 1
438,47.0754049765985,137.30515885944286,7.933372964411844,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
440,88.27855331879168,304.5606975378915,7.944052561752496,0, 0, 0, 0, 5, 5, 0, 0, 5, 5, 0, 0
441,123.02859315062265,318.6304971296212,7.924576934307625,1, 1, 0, 0, 10, 10, 0, 0, 11, 9, 1, 0
442,52.19520172507412,113.80039608757846,7.935814902796816,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
443,88.15563918285714,260.9303451337021,7.931775099279005,0, 0, 0, 0, 2, 0, 1, 0, 2, 0, 1, 0
445,31.49074903043139,85.44270424433175,7.941798581731744,1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0
446,13.513921751472388,48.064678949688485,7.933227156450437,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
447,118.46956254704742,317.7724859057416,7.942955616923097,0, 0, 0, 0, 6, 4, 0, 1, 6, 4, 0, 1
449,102.02654652335112,282.7477403366802,7.93713372952668,2, 2, 0, 0, 5, 5, 0, 0, 7, 5, 0, 1
450,36.65464642358965,67.75479063232908,7.93803757294085,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
451,37.56859071691306,141.65503322586616,7.947221634807984,1, 1, 0, 0, 4, 4, 0, 0, 5, 5, 0, 0
452,80.45078681957592,200.9408353239935,7.9390938923947925,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
453,119.2100294512361,310.2085351678135,7.9281692386433456,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
454,194.05870364667285,375.4849117797083,7.933099668230026,2, 2, 0, 0, 8, 8, 0, 0, 10, 10, 0, 0
455,120.92953453933981,279.8163902160495,7.921908140047689,1, 1, 0, 0, 3, 3, 0, 0, 4, 1, 0, 1
458,7.5864811042557125,19.248591374635645,7.935399431975153,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
460,131.63937414543298,334.2174700825996,7.9369839660244015,0, 0, 0, 0, 6, 6, 0, 0, 6, 6, 0, 0
461,22.98286187129867,73.82386881608569,7.938764809976925,0, 0, 0, 0, 3, 1, 0, 1, 3, 1, 0, 1
463,125.86244633659085,354.51259127187564,7.940032393983753,0, 0, 0, 0, 10, 8, 0, 1, 10, 8, 0, 1
744,87.57689926675448,220.96910904996005,7.937848068665456,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
748,115.65195358953459,332.86904073281323,7.938914318361088,2, 0, 1, 0, 4, 4, 0, 0, 6, 3, 0, 1
749,136.54656838505278,346.13995191375795,7.934739882779226,2, 0, 0, 1, 13, 9, 0, 2, 15, 9, 0, 3
750,79.52641928885951,250.84158948590635,7.943442995633296,1, 1, 0, 0, 7, 7, 0, 0, 8, 8, 0, 0
751,85.7629939229307,266.9053685788522,7.937822299718823,2, 2, 0, 0, 6, 4, 0, 1, 8, 5, 0, 1
754,84.50880873957036,223.2528163817973,7.937862551739288,3, 3, 0, 0, 9, 5, 0, 2, 12, 8, 0, 2
756,15.113594998232177,30.85382143278009,7.959106883094956,1, 1, 0, 0, 2, 2, 0, 0, 3, 3, 0, 0
758,13.728571240360269,72.2157852308547,7.9461234545953925,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
760,129.0458808774095,371.64943665814116,7.947908490713572,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
761,16.380097046050448,56.31029599401266,7.956136621158948,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
764,88.2597284004563,268.6010653689603,7.935170009031426,2, 2, 0, 0, 10, 6, 2, 0, 12, 4, 4, 0
767,100.79732744381967,294.60608165965436,7.932304975173392,3, 1, 0, 1, 2, 2, 0, 0, 5, 2, 0, 1
770,13.15431582795886,62.356162325665764,7.9381604666700865,1, 1, 0, 0, 1, 1, 0, 0, 2, 0, 0, 1
771,30.46465261753553,86.06229083170459,7.931919289234688,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
772,47.8154185331277,90.36884047537559,7.945911983064451,0, 0, 0, 0, 4, 2, 1, 0, 4, 2, 1, 0
773,9.380401819000948,56.94017422242843,7.939615941244182,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
899,4.662374765951198,21.728987137984653,7.948118737460769,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
900,56.38696365971002,251.51091472470137,7.921902069915692,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
901,51.84139062715606,213.13840814827216,7.928347375883714,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
902,35.818374744330356,94.17510291483057,7.930734586984299,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
904,87.01102477185565,333.3994431414128,7.934002611696625,1, 1, 0, 0, 2, 2, 0, 0, 3, 3, 0, 0
905,112.00818204278494,311.4439734301687,7.9513820801379,2, 2, 0, 0, 16, 16, 0, 0, 18, 18, 0, 0
