Filename,EnergyMeV,LET,numEvtIntersectingVolume,chromatinVolume,numBP,sugarPosFilename,GitHash,ClusteringGitHash
alpha_5MeV_7169.root,4.912433099468423,88.55905757175513,616,2.700000000000001e-20,296352.0,../../../../geometryFiles/sugarPos_4x4_300nm.csv,e9383fe,80aac8f
EventNo,DoseGy,PathLength_nm,MeanKEMeV,TotalSBdirect,SSBdirect,cSSBdirect,DSBdirect,TotalSBindirect,SSBindirect,cSSBindirect,DSBindirect,TotalSBtotal,SSBtotal,cSSBtotal,DSBtotal
93,101.5299206541229,223.79303418609615,4.912200521572762,1, 1, 0, 0, 4, 2, 1, 0, 5, 1, 2, 0
96,175.03665519846228,318.609511458756,4.924682310852923,1, 1, 0, 0, 2, 2, 0, 0, 3, 3, 0, 0
97,171.14313421704162,301.4974070513229,4.8972770409344655,5, 3, 0, 1, 9, 7, 0, 1, 14, 8, 1, 2
98,24.1342221655908,44.744032690247856,4.917472420305678,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
100,153.62687602224628,315.20309183121867,4.932933982236571,3, 1, 1, 0, 11, 7, 0, 2, 14, 7, 1, 2
104,59.92013186086205,160.3491843267297,4.918893891908038,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
106,115.53505295042548,171.43823118203,4.9043618151285,0, 0, 0, 0, 7, 5, 0, 1, 7, 5, 0, 1
107,84.59912719019117,177.26795609260975,4.910791382319144,1, 1, 0, 0, 3, 3, 0, 0, 4, 4, 0, 0
108,56.46139684979932,89.81524096467257,4.934077439828039,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
109,5.712631191222937,19.330211649314194,4.915174367907296,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
110,164.6923200073441,328.5035978848952,4.920722199173713,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
114,68.43088543280952,185.29741215786214,4.914124757643113,0, 0, 0, 0, 3, 0, 1, 0, 3, 0, 1, 0
117,193.20319239831116,314.3082601692327,4.905054159252861,0, 0, 0, 0, 8, 6, 0, 1, 8, 6, 0, 1
118,71.22596624149338,128.8665142839011,4.91823056574567,2, 2, 0, 0, 2, 2, 0, 0, 4, 0, 0, 2
121,163.77408446807414,266.33970835801426,4.910658188551794,1, 1, 0, 0, 12, 10, 0, 1, 13, 9, 0, 2
122,115.60777958857138,209.91030614659968,4.909918922225803,0, 0, 0, 0, 8, 8, 0, 0, 8, 8, 0, 0
248,10.482775806159314,20.612836728986938,4.909158493372107,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
249,29.04382550268953,66.1140878681516,4.908628903321095,0, 0, 0, 0, 6, 4, 1, 0, 6, 4, 1, 0
251,1.6849893698410485,4.301201680415421,4.919357626239053,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
252,51.7198957148698,95.38781694879475,4.91133416537997,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
253,91.08732342122498,189.74013469845949,4.930915841496122,0, 0, 0, 0, 6, 6, 0, 0, 6, 6, 0, 0
255,187.7610792165158,317.1430673186093,4.904522388417224,1, 1, 0, 0, 8, 8, 0, 0, 9, 9, 0, 0
256,106.96713231759298,176.9302781649555,4.9099684923500115,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
257,53.28724273255267,80.66514490327788,4.923208978124391,1, 1, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0
258,177.01253159922393,340.9419065379924,4.905579137444777,2, 2, 0, 0, 12, 8, 0, 1, 14, 10, 0, 1
259,27.877062738488995,59.14174241827604,4.913060305105347,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
260,14.223658513293428,34.97653624303428,4.899124358832072,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
262,55.80270345835671,111.1340591900726,4.9094346756942215,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
263,28.27659062063348,62.19439573845384,4.913553349929052,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
267,221.76093709682547,401.6787584466764,4.916215759294313,0, 0, 0, 0, 22, 15, 0, 3, 22, 15, 0, 3
268,126.4434374479271,254.60222570651717,4.924905011040243,6, 4, 1, 0, 7, 5, 1, 0, 13, 7, 3, 0
269,68.21205259448412,169.3726096423314,4.904438340079825,1, 1, 0, 0, 2, 2, 0, 0, 3, 1, 0, 1
270,180.82730157971508,370.64326139014975,4.9187728113142395,0, 0, 0, 0, 6, 4, 0, 1, 6, 4, 0, 1
435,84.32275454936757,173.63636046592364,4.916258651712262,1, 1, 0, 0, 3, 3, 0, 0, 4, 2, 1, 0
437,204.51316619129418,382.6793669377016,4.900902440949951,4, 4, 0, 0, 10, 10, 0, 0, 14, 12, 0, 1
438,152.4161259060562,277.59500708416607,4.908767714680046,2, 2, 0, 0, 17, 10, 2, 1, 19, 12, 2, 1
440,118.44415419123385,285.9223228582864,4.913154703463933,3, 3, 0, 0, 6, 6, 0, 0, 9, 7, 1, 0
441,117.01536044916867,301.6631488036742,4.904611268423551,0, 0, 0, 0, 9, 7, 0, 1, 9, 7, 0, 1
442,123.37958210652847,294.0420009978496,4.905194856609198,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
443,161.05322857358505,304.07611460700394,4.9051618547741125,3, 1, 1, 0, 8, 8, 0, 0, 11, 8, 1, 0
445,154.83088418441326,312.7195075834426,4.9248207188724225,0, 0, 0, 0, 9, 9, 0, 0, 9, 9, 0, 0
447,42.276407501036736,45.55005749651177,4.900237833371659,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
449,38.71807626250951,57.965958610853484,4.894694818837881,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
450,147.10010312613377,307.14590359247165,4.931052500781978,4, 4, 0, 0, 8, 6, 1, 0, 12, 10, 1, 0
451,132.98627153763962,249.5943817666852,4.9248914545650795,0, 0, 0, 0, 6, 4, 1, 0, 6, 4, 1, 0
455,82.96724785602152,166.88118846916342,4.9259945766862145,0, 0, 0, 0, 4, 2, 1, 0, 4, 2, 1, 0
457,120.91831568513021,254.30383812214419,4.899409709157917,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
459,167.10591594703695,370.40624224284215,4.92351097046191,4, 4, 0, 0, 11, 9, 1, 0, 15, 10, 1, 1
460,52.57330851130542,139.2280317169156,4.920460481813132,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
461,103.70173183088032,225.8380437576187,4.9125118813773945,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
462,178.20909830670962,355.96888116181617,4.903254778846975,1, 1, 0, 0, 11, 7, 0, 2, 12, 8, 0, 2
463,198.22142692593297,383.48657449003787,4.904110889399117,4, 4, 0, 0, 14, 12, 1, 0, 18, 14, 2, 0
652,72.77212885131664,128.77023360339703,4.91347833467633,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
653,207.19091567210705,344.14109066745937,4.917259653831536,2, 2, 0, 0, 17, 11, 1, 2, 19, 10, 2, 2
654,150.08232995680802,322.87114974279933,4.909669947896033,4, 4, 0, 0, 7, 5, 0, 1, 11, 5, 1, 1
656,68.0384267415395,172.46393081998667,4.917723274832936,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
659,140.40422061046576,259.5043244675692,4.912352853064167,0, 0, 0, 0, 8, 5, 1, 0, 8, 5, 1, 0
