Filename,EnergyMeV,LET,numEvtIntersectingVolume,chromatinVolume,numBP,sugarPosFilename,GitHash,ClusteringGitHash
alpha_5MeV_4704.root,4.9122224805097305,88.57989870015061,649,2.700000000000001e-20,296352.0,../../../../geometryFiles/sugarPos_4x4_300nm.csv,e9383fe,80aac8f
EventNo,DoseGy,PathLength_nm,MeanKEMeV,TotalSBdirect,SSBdirect,cSSBdirect,DSBdirect,TotalSBindirect,SSBindirect,cSSBindirect,DSBindirect,TotalSBtotal,SSBtotal,cSSBtotal,DSBtotal
63,195.5082515393513,393.59748383323796,4.909459996214419,2, 2, 0, 0, 13, 9, 1, 1, 15, 8, 2, 1
64,15.724676715269359,30.647206369974178,4.891089863178054,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67,107.08677659628127,202.24088546019962,4.901571728779762,3, 0, 0, 1, 9, 7, 1, 0, 12, 7, 1, 1
69,159.20101822753688,306.36745069117677,4.895969168439009,5, 5, 0, 0, 17, 15, 1, 0, 22, 15, 2, 1
72,142.68482146265163,308.9790063320782,4.912858062839545,4, 4, 0, 0, 6, 4, 1, 0, 10, 5, 0, 2
73,165.95647446682602,311.58304474221165,4.911377940217154,1, 1, 0, 0, 8, 8, 0, 0, 9, 9, 0, 0
79,59.81884342578364,107.29487416135382,4.900705255644146,0, 0, 0, 0, 5, 3, 1, 0, 5, 3, 1, 0
80,176.76758854898736,321.54782482019283,4.906244934163501,3, 3, 0, 0, 8, 8, 0, 0, 11, 11, 0, 0
81,155.81141832340126,326.43474561513045,4.903943209723508,1, 1, 0, 0, 8, 8, 0, 0, 9, 9, 0, 0
83,131.60661044287704,270.7831042746479,4.899404931883244,6, 3, 1, 0, 10, 10, 0, 0, 16, 9, 0, 2
85,62.43217321280771,110.26375686863118,4.898431133349943,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
86,99.4305490624407,215.88953830972125,4.91260885400709,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
87,158.64821321106473,326.70797267917794,4.916629604889547,2, 2, 0, 0, 12, 8, 1, 1, 14, 10, 1, 1
88,171.52372731291342,321.66018454373926,4.923545032671318,2, 2, 0, 0, 6, 4, 0, 1, 8, 6, 0, 1
89,57.87781333426849,122.716593302648,4.929790016509301,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90,109.47464314082956,228.577438253315,4.914219923685987,0, 0, 0, 0, 6, 6, 0, 0, 6, 6, 0, 0
91,186.7486609388867,319.3165019028229,4.900986600539995,4, 4, 0, 0, 10, 10, 0, 0, 14, 14, 0, 0
496,192.08856955036637,313.65953403763274,4.9027554880587445,4, 4, 0, 0, 16, 14, 0, 1, 20, 13, 0, 3
497,66.61917925396243,164.9534148728613,4.9082311626393125,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
498,84.65774118752446,149.59855888954885,4.907537303016313,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
499,54.350200791181905,94.9073219250495,4.899683186497443,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
500,146.9609934056954,308.12847194877946,4.9154760520148315,2, 2, 0, 0, 7, 3, 2, 0, 9, 4, 1, 1
501,160.1327764990495,378.42184197691347,4.9204853270710665,2, 2, 0, 0, 17, 10, 1, 2, 19, 9, 1, 3
502,171.71638093366838,341.8953487087291,4.90381057478527,7, 5, 1, 0, 17, 11, 2, 1, 24, 14, 4, 1
503,166.77587657910075,348.1887176509799,4.9157201591977495,1, 1, 0, 0, 12, 12, 0, 0, 13, 13, 0, 0
504,74.23150221304532,146.24467730715355,4.911321316881157,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
505,19.638888558303076,2.4932646519919497,4.915696070954733,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
506,35.77550781416532,65.16397309601724,4.919995697639848,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
507,200.79473719573681,358.8269512246716,4.912424793583077,2, 0, 0, 1, 10, 10, 0, 0, 12, 9, 0, 1
510,25.97471941034459,49.18893528121765,4.890970490918102,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
511,99.90581865600879,184.0169038081317,4.922719943482146,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
512,115.181218574313,236.2645175231964,4.9254587212684875,3, 3, 0, 0, 8, 8, 0, 0, 11, 5, 2, 1
515,30.198086016905993,49.70082763933011,4.897709951870651,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
517,102.21266266153926,227.47793294789358,4.915799263496645,3, 1, 1, 0, 4, 2, 0, 1, 7, 2, 1, 1
518,32.043750203231355,58.81829519784525,4.913988880526082,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
521,183.01550420323954,302.86735937921827,4.88747815497519,1, 1, 0, 0, 2, 2, 0, 0, 3, 3, 0, 0
522,20.323990678192143,15.001552147627754,4.884372914271022,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
745,63.99961526958312,126.1516040654054,4.906805040472975,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
746,52.68485505308945,158.1133206810753,4.917776425162733,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
