Filename,EnergyMeV,LET,numEvtIntersectingVolume,chromatinVolume,numBP,sugarPosFilename,GitHash,ClusteringGitHash
alpha_8MeV_702.root,7.937902942496855,62.74692856002397,629,2.700000000000001e-20,296352.0,../../../../geometryFiles/sugarPos_4x4_300nm.csv,ce42311,80aac8f
EventNo,DoseGy,PathLength_nm,MeanKEMeV,TotalSBdirect,SSBdirect,cSSBdirect,DSBdirect,TotalSBindirect,SSBindirect,cSSBindirect,DSBindirect,TotalSBtotal,SSBtotal,cSSBtotal,DSBtotal
217,153.75864820568495,410.85920830707425,7.931794099206989,5, 5, 0, 0, 9, 9, 0, 0, 14, 14, 0, 0
218,47.94071399346547,184.86924890898615,7.932700711194274,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
219,85.99929509072233,288.23411094535294,7.945118160002268,0, 0, 0, 0, 9, 9, 0, 0, 9, 9, 0, 0
220,92.61659483248675,283.35116274659237,7.951315526795851,1, 1, 0, 0, 2, 0, 0, 1, 3, 1, 0, 1
222,21.045474635186178,48.79548316609209,7.939539643519966,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
223,71.78608262315524,183.94884147350967,7.945539638089455,1, 1, 0, 0, 2, 2, 0, 0, 3, 1, 1, 0
224,133.70468235914498,333.07326520426466,7.947744586829692,0, 0, 0, 0, 12, 10, 0, 1, 12, 10, 0, 1
226,80.95897334909668,300.8704383566514,7.947824309201096,1, 1, 0, 0, 8, 6, 0, 1, 9, 5, 1, 1
228,101.19244014717079,338.67892252814204,7.943835820868265,0, 0, 0, 0, 10, 6, 1, 1, 10, 6, 1, 1
229,136.41197058293793,373.7799042949516,7.937683181640214,2, 2, 0, 0, 6, 6, 0, 0, 8, 8, 0, 0
230,41.559951145350276,136.94306986244442,7.9240473733559975,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
231,83.30649348081683,242.10648897042748,7.941319145512379,2, 2, 0, 0, 3, 3, 0, 0, 5, 3, 1, 0
233,137.52716471584452,355.65626333914156,7.9321516165166965,0, 0, 0, 0, 5, 1, 1, 1, 5, 1, 1, 1
