Filename,EnergyMeV,LET,numEvtIntersectingVolume,chromatinVolume,numBP,sugarPosFilename,GitHash,ClusteringGitHash
/user/work/lg9783/RBE/RBE/simulation/build/results/2ndDec_testCommit/alpha_8MeV_4697.root,7.937840848717622,62.751143608311864,628,2.700000000000001e-20,296352.0,/user/work/lg9783/RBE/RBE/geometryFiles/sugarPos_4x4_300nm.csv,b4fe4a5,2faf8c0
EventNo,DoseGy,PathLength_nm,MeanKEMeV,TotalSBdirect,SSBdirect,cSSBdirect,DSBdirect,TotalSBindirect,SSBindirect,cSSBindirect,DSBindirect,TotalSBtotal,SSBtotal,cSSBtotal,DSBtotal
124,30.70787926807447,130.3468976781057,7.9542948328149805,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
126,53.57113074029245,174.34351129521,7.9207256798272105,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
129,93.84206412602256,301.13976901934336,7.930767630040496,1, 1, 0, 0, 3, 3, 0, 0, 4, 2, 1, 0
131,150.37713509753092,390.09303821210375,7.931210643390319,3, 3, 0, 0, 8, 8, 0, 0, 11, 11, 0, 0
135,82.53084455925138,201.77693043633582,7.93985326237436,1, 1, 0, 0, 8, 6, 0, 1, 9, 6, 0, 1
136,123.55262097274968,318.52972305204605,7.945517770181672,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
137,102.74281931904146,317.6507044954943,7.9425846251472665,3, 3, 0, 0, 7, 5, 1, 0, 10, 4, 2, 1
138,102.24356911072464,349.75747721618933,7.9304908775744725,0, 0, 0, 0, 5, 5, 0, 0, 5, 5, 0, 0
142,11.51650238948663,10.295757117823625,7.923117974320178,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
143,34.79351450651251,69.86909145383687,7.922451329568956,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
144,81.06980298519821,269.2286285818346,7.9364932684133525,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
145,31.258738769694013,89.95797019569999,7.956695132151874,1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0
146,33.9952442963624,93.12488572494571,7.926978847580523,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
149,110.11073408397864,262.3304891354502,7.94315404028428,1, 1, 0, 0, 19, 10, 0, 2, 20, 9, 0, 3
150,113.35031347261125,319.5534704358606,7.937964078051191,1, 1, 0, 0, 8, 6, 0, 1, 9, 7, 0, 1
151,19.743624210866134,64.76927633058486,7.948958380102227,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
152,111.90426156056259,313.735944700481,7.944562163379452,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
153,34.30061961375829,104.04093151406047,7.921738591700111,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
154,66.42037216034733,149.27436325061396,7.9391171844294846,1, 1, 0, 0, 5, 3, 1, 0, 6, 2, 2, 0
279,1.4137774148804843,7.776407726126924,7.935483850010666,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
282,75.63961107235646,215.79751635906996,7.95590418642146,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
286,66.72688646522448,157.65625004007157,7.922265506625424,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
288,123.38549250254187,308.9176811114937,7.932231686065707,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
291,69.85793799312738,228.53364464152273,7.933393178191837,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
292,103.35085235649062,280.07974440460623,7.925695165225898,1, 1, 0, 0, 4, 4, 0, 0, 5, 3, 0, 1
296,31.418967015552482,89.8746815994645,7.955531830375076,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
297,26.93864450761887,70.19969045951372,7.92664428173258,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
298,39.71765530519102,119.88718889875516,7.940660180871475,1, 1, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0
299,146.33613979628436,383.6201563277244,7.945544485824715,4, 4, 0, 0, 12, 12, 0, 0, 16, 12, 1, 1
300,66.50158883570083,237.78752538411266,7.939746705338025,5, 3, 0, 1, 7, 4, 0, 1, 12, 7, 0, 2
301,56.0531964213838,143.46178732268837,7.934259381370218,0, 0, 0, 0, 5, 5, 0, 0, 5, 5, 0, 0
302,16.09416441235373,49.21924095941399,7.914781103520099,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
304,98.29499677122239,337.95107955386095,7.93377734491498,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
305,37.925487251085634,98.42795790904069,7.9474978221699235,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
306,55.8248199634307,129.65350917719582,7.93192353912185,2, 2, 0, 0, 7, 7, 0, 0, 9, 7, 0, 1
307,117.63950983352812,313.21471022571524,7.9499740197630615,0, 0, 0, 0, 9, 9, 0, 0, 9, 9, 0, 0
309,112.5074515791398,319.74008751124956,7.938903998802106,5, 5, 0, 0, 8, 6, 1, 0, 13, 9, 2, 0
466,59.55460152930829,178.3778015471876,7.941125560113033,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
468,81.86366236923678,242.874041083434,7.938183295453827,3, 3, 0, 0, 4, 2, 0, 1, 7, 3, 1, 1
469,22.495448066278684,65.20664280028812,7.942352626702226,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
471,105.85453478336815,324.46502528714524,7.924137200554144,3, 3, 0, 0, 9, 9, 0, 0, 12, 10, 0, 1
473,25.12329132281649,84.85793374965692,7.939428510529265,1, 1, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0
474,71.01811164177734,240.67279454906713,7.946660747524527,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
475,57.18633126638722,151.81764131204577,7.9402911504246205,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
476,6.476041541846136,29.09318020693233,7.935539809844851,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
477,17.930648591627946,62.737226609510124,7.930816204511601,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
478,27.005075581313154,47.81647178903709,7.933176937972222,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
479,106.55772512234631,316.67125525664216,7.93020791624768,1, 1, 0, 0, 5, 5, 0, 0, 6, 6, 0, 0
480,102.59551353187368,323.7223331634959,7.9304781337569725,1, 1, 0, 0, 2, 2, 0, 0, 3, 3, 0, 0
481,40.06956960483078,180.51926265391137,7.950334537761751,2, 2, 0, 0, 2, 2, 0, 0, 4, 4, 0, 0
482,94.62808928302162,363.0364598800071,7.9252440313760495,1, 1, 0, 0, 3, 3, 0, 0, 4, 4, 0, 0
485,99.35811575760565,245.2603860700694,7.9415145815338875,2, 2, 0, 0, 5, 3, 0, 1, 7, 5, 0, 1
488,58.654948520332496,245.01110805402945,7.95728681803042,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
