Filename,EnergyMeV,LET,numEvtIntersectingVolume,chromatinVolume,numBP,sugarPosFilename,GitHash,ClusteringGitHash
alpha_9MeV_128.root,8.943356721926625,57.48116038748618,625,2.700000000000001e-20,296352.0,../../../../geometryFiles/sugarPos_4x4_300nm.csv,e9383fe,80aac8f
EventNo,DoseGy,PathLength_nm,MeanKEMeV,TotalSBdirect,SSBdirect,cSSBdirect,DSBdirect,TotalSBindirect,SSBindirect,cSSBindirect,DSBindirect,TotalSBtotal,SSBtotal,cSSBtotal,DSBtotal
124,83.58134913717812,215.21248427521311,8.948501725555651,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
125,46.091881565943225,193.2451335084907,8.951992891009038,1, 1, 0, 0, 4, 4, 0, 0, 5, 5, 0, 0
126,116.38528321341175,346.54901253878336,8.923222918799278,2, 2, 0, 0, 14, 9, 1, 1, 16, 11, 1, 1
131,21.83571557617728,21.90255722272749,8.94145327246997,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
132,41.951337948697784,159.0336229221845,8.952380636914995,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
133,27.53524734686291,56.17080265193597,8.932070339007185,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
134,105.03746825494778,305.1199012379998,8.942268554460561,0, 0, 0, 0, 5, 3, 1, 0, 5, 3, 1, 0
135,11.210259473520958,39.43116759960361,8.941452600685952,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
136,12.27288197966356,52.93959467288896,8.948344636967267,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
137,84.23422325110718,325.70856921382364,8.955705035230443,2, 2, 0, 0, 7, 7, 0, 0, 9, 9, 0, 0
138,19.298119664150228,88.97400491300391,8.956605185442982,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
140,91.86460749997183,317.001535883319,8.940287042588412,3, 1, 1, 0, 7, 4, 0, 1, 10, 5, 1, 1
142,116.53226045124946,412.5312959049559,8.938343672044605,1, 1, 0, 0, 4, 4, 0, 0, 5, 5, 0, 0
144,105.94392561256764,303.37611354102194,8.944851287112684,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
145,134.77841726162322,304.87443220382005,8.949350221389022,1, 1, 0, 0, 7, 7, 0, 0, 8, 6, 1, 0
148,104.33920033008293,329.1288850115837,8.927148744939501,0, 0, 0, 0, 6, 6, 0, 0, 6, 6, 0, 0
150,2.3379262778844985,3.23579198135601,8.958892653997921,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
151,116.71178658326149,362.1262943380051,8.932603726416165,1, 1, 0, 0, 8, 6, 0, 1, 9, 5, 0, 2
152,142.28082206992224,355.24373464806587,8.94520207562098,1, 1, 0, 0, 20, 20, 0, 0, 21, 21, 0, 0
153,29.989569499384874,72.17632954771183,8.952696563243219,2, 2, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0
154,84.46835425127716,291.79610426400797,8.935703422764018,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
372,4.791628114235422,26.20859276217603,8.945392860391172,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
373,78.30231581104351,278.5785435678266,8.928189011704921,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
375,87.68763873650721,277.6694619397173,8.940650199527862,1, 1, 0, 0, 4, 1, 1, 0, 5, 2, 1, 0
376,12.485537791355965,67.18305267303971,8.940183180026061,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
378,47.45893619243364,230.5772572226843,8.946627601592056,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
381,7.0416424473910135,33.371666632984216,8.935566595926836,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
384,11.995145989001795,34.575080758174344,8.945783971701307,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
