Filename,EnergyMeV,LET,numEvtIntersectingVolume,chromatinVolume,numBP,sugarPosFilename,GitHash,ClusteringGitHash
alpha_8MeV_6504.root,7.938090526730293,62.74146675307552,645,2.700000000000001e-20,296352.0,../../../../geometryFiles/sugarPos_4x4_300nm.csv,ce42311,80aac8f
EventNo,DoseGy,PathLength_nm,MeanKEMeV,TotalSBdirect,SSBdirect,cSSBdirect,DSBdirect,TotalSBindirect,SSBindirect,cSSBindirect,DSBindirect,TotalSBtotal,SSBtotal,cSSBtotal,DSBtotal
609,41.700470995448754,110.67309615169478,7.949296774761622,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
610,103.31902899064269,346.28660183059895,7.920924811939584,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
611,70.67317191874331,208.02573559775226,7.942845850543933,1, 1, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0
612,19.849266562709715,62.98790139547252,7.9394379360071765,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
613,108.69624348088013,292.89797267887684,7.942378165587607,3, 1, 0, 1, 11, 11, 0, 0, 14, 12, 0, 1
614,61.09739911941541,217.96993069255652,7.945987652392961,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
615,44.40815996432661,167.33198923974115,7.940154733508265,1, 1, 0, 0, 14, 12, 0, 1, 15, 13, 0, 1
616,12.888302058683479,44.64210277924337,7.929181376805603,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
619,68.22451910955233,178.40595912157423,7.932757948864921,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
775,22.015031546689062,137.99521376890968,7.9419918927109485,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
776,21.118348262408265,68.46892386877835,7.9443889196126065,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
777,110.17144579762869,255.5570375072706,7.931418740077802,0, 0, 0, 0, 10, 7, 0, 1, 10, 7, 0, 1
778,132.27280326464427,395.5676640774421,7.923658160557723,2, 2, 0, 0, 8, 6, 0, 1, 10, 8, 0, 1
