Filename,EnergyMeV,LET,numEvtIntersectingVolume,chromatinVolume,numBP,sugarPosFilename,GitHash,ClusteringGitHash
/user/work/lg9783/RBE/RBE/simulation/build/results/2ndDec_testCommit/alpha_8MeV_1796.root,7.93861201842463,62.74440756793736,656,2.700000000000001e-20,296352.0,/user/work/lg9783/RBE/RBE/geometryFiles/sugarPos_4x4_300nm.csv,b4fe4a5,2faf8c0
EventNo,DoseGy,PathLength_nm,MeanKEMeV,TotalSBdirect,SSBdirect,cSSBdirect,DSBdirect,TotalSBindirect,SSBindirect,cSSBindirect,DSBindirect,TotalSBtotal,SSBtotal,cSSBtotal,DSBtotal
186,29.598759353040826,81.19912748731525,7.939299373778729,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
187,85.1697136032516,226.0061592756729,7.934097560779901,1, 1, 0, 0, 8, 4, 0, 2, 9, 5, 0, 2
188,6.688644110816994,26.66226652707147,7.935328439893685,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
189,84.72267713287712,239.11511184766127,7.939532090532601,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
190,51.06040917681503,142.91225882849596,7.946245161597956,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
194,108.28782737442269,337.10586785469866,7.941979572679747,1, 1, 0, 0, 6, 6, 0, 0, 7, 7, 0, 0
195,50.912544395239,142.19746680361413,7.938285056620328,1, 1, 0, 0, 2, 2, 0, 0, 3, 1, 1, 0
196,31.581962263041035,76.58633601593381,7.9308007271452,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
197,67.37738137259798,183.73310975100546,7.953489993448778,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
199,5.895027423962216,19.97851555959822,7.923567343346967,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
200,54.49572330746294,164.4591149419392,7.932764022155274,2, 2, 0, 0, 3, 3, 0, 0, 5, 3, 1, 0
201,32.90613492647146,147.9645589793439,7.943361872546168,1, 1, 0, 0, 5, 3, 0, 1, 6, 3, 0, 1
205,64.55009618652636,218.5936276369721,7.928839840731623,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
208,38.731889883542614,124.93312239659672,7.936173927576132,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
209,154.3496491584908,416.2385149745332,7.935132254260155,6, 6, 0, 0, 16, 14, 1, 0, 22, 18, 2, 0
210,87.09857961924058,292.5379072937194,7.944152364142026,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
211,132.82058536135614,352.0814281498681,7.944469092772847,1, 1, 0, 0, 9, 7, 1, 0, 10, 8, 1, 0
215,89.44728673863642,318.1089985657408,7.950016653296903,2, 2, 0, 0, 4, 4, 0, 0, 6, 6, 0, 0
216,26.644045390884212,41.48636700348932,7.948000988932051,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
372,78.89213591152983,262.5322082100921,7.936999979124664,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
373,91.93866466135994,284.0922858845931,7.9447332018899655,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
378,137.7163010939143,378.20927532453777,7.932490020970339,3, 1, 1, 0, 7, 5, 0, 1, 10, 5, 1, 1
379,90.10409011171731,334.52523381245436,7.949943934968934,0, 0, 0, 0, 7, 5, 1, 0, 7, 5, 1, 0
383,67.25492372155821,208.83412578394805,7.9355455480400865,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
384,78.24096034868298,299.7477973562728,7.9419629005875,3, 3, 0, 0, 10, 10, 0, 0, 13, 9, 2, 0
390,53.018118350256586,129.16934069931773,7.940981178384259,2, 2, 0, 0, 4, 4, 0, 0, 6, 6, 0, 0
392,110.94116110463203,335.8146304781085,7.934160464755406,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
393,7.664259163361882,2.9757437607055235,7.953112306024644,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
394,112.25183232011882,283.98820336366964,7.931063107260096,4, 4, 0, 0, 12, 10, 1, 0, 16, 11, 2, 0
395,13.990658288692178,43.75222492337017,7.940308350585046,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
399,57.64448423833747,153.4649697339115,7.938681029048714,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
400,9.246563125721998,28.590755444680116,7.948749276832004,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
402,83.91117354495502,240.79504901079287,7.941978357340418,1, 1, 0, 0, 10, 8, 0, 1, 11, 8, 0, 1
465,58.43587132124666,183.05664466517166,7.943677144333861,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
466,77.50722768467281,308.6421780262311,7.927920067335696,0, 0, 0, 0, 5, 5, 0, 0, 5, 5, 0, 0
467,96.5099348889904,319.4775689039852,7.944077362144763,1, 1, 0, 0, 13, 11, 0, 1, 14, 12, 0, 1
468,39.32292448069196,151.39760791159455,7.927082452462722,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
471,90.50808238534104,303.03804955110087,7.929298104373144,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
473,109.29910232555065,327.42016792673206,7.938497070278791,1, 1, 0, 0, 3, 3, 0, 0, 4, 2, 1, 0
474,27.799603414038923,65.86085894694092,7.936432578309677,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
476,43.745404228655346,182.60244721851652,7.9347671833052456,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
477,0.28253112654282114,4.245029466243634,7.919447475490516,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
480,20.550332370809073,47.360404972383996,7.936278663982348,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
482,48.85105287660479,196.5029870683282,7.931952161750977,1, 1, 0, 0, 2, 2, 0, 0, 3, 1, 1, 0
485,46.76939490589943,139.17756257293348,7.932641521202928,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
486,101.48983455297427,299.28788464114007,7.940535058933195,4, 4, 0, 0, 17, 13, 1, 1, 21, 17, 1, 1
487,9.607995288253154,27.609886028575648,7.927870718032929,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
488,148.18857905988898,367.6259169327048,7.925383686174728,0, 0, 0, 0, 6, 6, 0, 0, 6, 6, 0, 0
490,78.625674016146,324.6627128832975,7.940459607034086,1, 1, 0, 0, 4, 2, 0, 1, 5, 3, 0, 1
494,130.43593675865895,342.7307774455455,7.95265698215159,3, 3, 0, 0, 13, 11, 0, 1, 16, 14, 0, 1
495,80.248578776011,214.34444358538693,7.949360342045377,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
744,99.02297822699305,309.24211409135506,7.933598481018702,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
748,13.397107656803945,52.53590546705716,7.937594724349752,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
751,21.499198604194092,107.29677852561929,7.959572907025314,1, 1, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0
752,83.59925896013763,264.78075606287734,7.929972477804035,0, 0, 0, 0, 5, 3, 0, 1, 5, 3, 0, 1
753,80.96679027543108,260.0099601024445,7.935236499633234,0, 0, 0, 0, 5, 3, 0, 1, 5, 3, 0, 1
754,4.12349706032837,7.115120714056819,7.936655544777417,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
755,103.46628273280449,318.7712178775288,7.943800734031282,3, 1, 1, 0, 8, 6, 1, 0, 11, 6, 2, 0
756,126.03259712569391,368.9661564953405,7.948046688559941,5, 3, 0, 1, 7, 7, 0, 0, 12, 10, 0, 1
758,64.57977464334014,183.26435555302479,7.937085259643993,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
759,28.927091307838822,79.20031418722297,7.926865714273383,1, 1, 0, 0, 2, 2, 0, 0, 3, 3, 0, 0
761,76.52961294683581,310.36833341852287,7.95134215497154,0, 0, 0, 0, 6, 6, 0, 0, 6, 6, 0, 0
762,86.37741421017174,214.5670025725863,7.937422644262542,2, 2, 0, 0, 14, 6, 2, 1, 16, 8, 2, 1
763,132.08204881852393,299.8262394309967,7.931676033183413,6, 6, 0, 0, 11, 11, 0, 0, 17, 15, 1, 0
764,72.135031418579,232.1496477953782,7.939608122138288,1, 1, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0
766,84.2189985297358,272.515155472028,7.9347804458771245,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
769,58.225342721163415,187.01938409725057,7.922463914551016,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
771,104.56367797617665,326.9074678461489,7.9388213838268005,2, 2, 0, 0, 14, 14, 0, 0, 16, 12, 2, 0
774,86.7104976498819,231.88902960611844,7.950716729166492,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
31,79.51280485203753,248.07207451625808,7.939878917410413,1, 1, 0, 0, 4, 2, 1, 0, 5, 3, 1, 0
32,173.29808926739088,333.3631410009054,7.944942827358949,2, 2, 0, 0, 1, 1, 0, 0, 3, 3, 0, 0
34,20.276624255193983,48.722318045339605,7.951827054411943,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
35,85.04091675739984,303.6245533873371,7.939035286978736,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
36,67.25783385506737,214.43488944116373,7.949196949496281,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
38,33.69876843373102,65.07135253367323,7.924235238196147,0, 0, 0, 0, 2, 2, 0, 0, 2, 2, 0, 0
39,117.58556591076473,344.3354837715688,7.952271070782633,0, 0, 0, 0, 7, 7, 0, 0, 7, 7, 0, 0
40,107.33182505112674,251.86772500241344,7.956291236767997,0, 0, 0, 0, 6, 6, 0, 0, 6, 6, 0, 0
41,100.17092046359289,310.05288959271604,7.955070141504722,2, 2, 0, 0, 8, 6, 0, 1, 10, 8, 0, 1
43,118.83153053148556,358.18275756999077,7.933373846333328,1, 1, 0, 0, 8, 8, 0, 0, 9, 9, 0, 0
44,34.98489097117247,110.46194217994177,7.946416033287267,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
45,156.1635838315067,393.04523933781445,7.945395583037758,0, 0, 0, 0, 7, 5, 0, 1, 7, 5, 0, 1
46,17.52942469080046,7.0065944181901,7.929349898657765,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
