Filename,EnergyMeV,LET,numEvtIntersectingVolume,chromatinVolume,numBP,sugarPosFilename,GitHash,ClusteringGitHash
alpha_9MeV_9516.root,8.942889662228513,57.49055967574398,638,2.700000000000001e-20,296352.0,../../../../geometryFiles/sugarPos_4x4_300nm.csv,e9383fe,80aac8f
EventNo,DoseGy,PathLength_nm,MeanKEMeV,TotalSBdirect,SSBdirect,cSSBdirect,DSBdirect,TotalSBindirect,SSBindirect,cSSBindirect,DSBindirect,TotalSBtotal,SSBtotal,cSSBtotal,DSBtotal
62,59.65895039348423,203.1980469109905,8.943357688915654,0, 0, 0, 0, 9, 7, 1, 0, 9, 7, 1, 0
63,29.446299186947563,78.57164224433771,8.946128135704702,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
64,14.36811288388113,46.11821566234329,8.9514259074177,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
65,80.01209793647084,309.85136849368934,8.942864982531674,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
66,14.988627847376474,67.54745751236494,8.953918256293328,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
67,11.403598653726437,36.953600406119484,8.942526424811998,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
69,8.122197885473318,41.73099469657182,8.940822858896013,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
70,88.37877824016354,287.2382133705504,8.931727134634318,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
72,41.8805371786623,187.33431960976264,8.955914058645003,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
73,113.94430136785239,305.04042234014383,8.93552129833159,2, 2, 0, 0, 6, 6, 0, 0, 8, 6, 1, 0
74,97.03651998674712,340.17921104352234,8.94960561404519,1, 1, 0, 0, 5, 3, 1, 0, 6, 4, 1, 0
78,81.2696790013489,326.42576699329226,8.956162776365405,0, 0, 0, 0, 8, 8, 0, 0, 8, 8, 0, 0
81,40.22677175759888,148.9206769232738,8.93800716605675,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
82,62.47000569401632,213.21763490229213,8.942012935041392,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
83,72.46593614312204,315.482010758395,8.938069796311172,0, 0, 0, 0, 6, 4, 1, 0, 6, 4, 1, 0
84,73.44659527201433,279.6826167265631,8.960766090592905,1, 1, 0, 0, 5, 3, 0, 1, 6, 4, 0, 1
86,98.41580701029956,359.3358155236044,8.931346266032165,0, 0, 0, 0, 11, 7, 1, 1, 11, 7, 1, 1
87,113.29037111638483,356.36951749666474,8.917502392061781,2, 2, 0, 0, 15, 11, 1, 1, 17, 11, 2, 1
88,95.21052627310115,312.8761861172873,8.933427639605867,3, 3, 0, 0, 8, 8, 0, 0, 11, 11, 0, 0
91,60.65511406508918,245.46608007191548,8.947698988925481,8, 4, 2, 0, 2, 0, 0, 1, 10, 4, 2, 1
92,65.32757124779636,251.82355537249603,8.945382795709218,2, 2, 0, 0, 6, 4, 0, 1, 8, 6, 0, 1
279,77.22567734483329,316.0109208316186,8.95219942206138,0, 0, 0, 0, 4, 4, 0, 0, 4, 4, 0, 0
280,85.39939945786163,302.24493929896516,8.93692249412151,0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
281,13.941098771234492,56.521795028335134,8.9450625126541,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
284,108.19145094973015,297.00197183986955,8.94796208021198,1, 1, 0, 0, 12, 7, 1, 1, 13, 7, 1, 1
286,85.95287557105684,289.24372070373505,8.935536406789335,0, 0, 0, 0, 3, 3, 0, 0, 3, 3, 0, 0
287,39.25618616961914,98.22734216552188,8.933522427641005,1, 1, 0, 0, 10, 8, 0, 1, 11, 8, 0, 1
